t,x,y,z
0.050, -10388.785, -2411.538, 643.915
0.050, -10380.964, -2422.949, 642.428
0.050, -10373.157, -2434.496, 640.913
0.050, -10365.754, -2445.572, 639.240
0.050, -10359.037, -2455.699, 637.197
0.050, -10353.183, -2464.545, 634.661
0.050, -10348.274, -2471.931, 631.620
0.050, -10344.314, -2477.785, 628.186
0.050, -10341.192, -2482.189, 624.575
0.050, -10338.707, -2485.322, 621.126
0.050, -10336.565, -2487.457, 618.281
0.050, -10334.411, -2488.933, 616.538
0.050, -10331.874, -2490.110, 616.374
0.050, -10328.618, -2491.266, 617.765
0.050, -10324.487, -2492.717, 620.193
0.050, -10319.465, -2494.790, 623.359
0.050, -10313.589, -2497.643, 627.064
0.050, -10306.944, -2501.271, 631.190
